tas,Year,Month,Country, C, ISO3, ISO2
23.6817,1941,8,CAF,,,
24.7107,1941,9,CAF,,,
25.1524,1941,10,CAF,,,
24.556,1941,11,CAF,,,
23.3833,1941,12,CAF,,,
25.8095,1942,1,CAF,,,
28.1091,1942,2,CAF,,,
27.4496,1942,3,CAF,,,
27.4706,1942,4,CAF,,,
26.0779,1942,5,CAF,,,
25.241,1942,6,CAF,,,
24.0943,1942,7,CAF,,,
23.131,1942,8,CAF,,,
24.2829,1942,9,CAF,,,
25.012,1942,10,CAF,,,
24.4489,1942,11,CAF,,,
24.1558,1942,12,CAF,,,
24.8655,1943,1,CAF,,,
25.8481,1943,2,CAF,,,
26.4662,1943,3,CAF,,,
26.5558,1943,4,CAF,,,
25.6434,1943,5,CAF,,,
24.155,1943,6,CAF,,,
23.7607,1943,7,CAF,,,
23.2141,1943,8,CAF,,,
24.063,1943,9,CAF,,,
24.5494,1943,10,CAF,,,
24.4939,1943,11,CAF,,,
24.5612,1943,12,CAF,,,
24.7707,1944,1,CAF,,,
25.8256,1944,2,CAF,,,
26.4476,1944,3,CAF,,,
26.663,1944,4,CAF,,,
25.5795,1944,5,CAF,,,
25.3963,1944,6,CAF,,,
24.5676,1944,7,CAF,,,
23.472,1944,8,CAF,,,
24.2728,1944,9,CAF,,,
24.724,1944,10,CAF,,,
23.7412,1944,11,CAF,,,
23.797,1944,12,CAF,,,
25.5973,1945,1,CAF,,,
25.4504,1945,2,CAF,,,
27.3704,1945,3,CAF,,,
26.659,1945,4,CAF,,,
25.3888,1945,5,CAF,,,
25.0059,1945,6,CAF,,,
24.2514,1945,7,CAF,,,
23.179,1945,8,CAF,,,
23.9872,1945,9,CAF,,,
24.3549,1945,10,CAF,,,
24.107,1945,11,CAF,,,
23.7266,1945,12,CAF,,,
25.2851,1946,1,CAF,,,
26.5236,1946,2,CAF,,,
27.4799,1946,3,CAF,,,
27.1258,1946,4,CAF,,,
26.1911,1946,5,CAF,,,
24.8421,1946,6,CAF,,,
23.478,1946,7,CAF,,,
22.7589,1946,8,CAF,,,
24.2119,1946,9,CAF,,,
24.3322,1946,10,CAF,,,
23.9549,1946,11,CAF,,,
24.0412,1946,12,CAF,,,
25.1141,1947,1,CAF,,,
26.9822,1947,2,CAF,,,
27.6657,1947,3,CAF,,,
26.8564,1947,4,CAF,,,
26.3817,1947,5,CAF,,,
25.2221,1947,6,CAF,,,
24.1919,1947,7,CAF,,,
23.7825,1947,8,CAF,,,
24.0494,1947,9,CAF,,,
24.8001,1947,10,CAF,,,
24.0771,1947,11,CAF,,,
24.4583,1947,12,CAF,,,
24.7173,1948,1,CAF,,,
25.9486,1948,2,CAF,,,
26.6044,1948,3,CAF,,,
26.8389,1948,4,CAF,,,
26.1109,1948,5,CAF,,,
24.6662,1948,6,CAF,,,
23.744,1948,7,CAF,,,
23.4528,1948,8,CAF,,,
24.56,1948,9,CAF,,,
24.2834,1948,10,CAF,,,
23.8101,1948,11,CAF,,,
22.9589,1948,12,CAF,,,
25.1831,1949,1,CAF,,,
25.7073,1949,2,CAF,,,
27.4466,1949,3,CAF,,,
27.1925,1949,4,CAF,,,
26.2304,1949,5,CAF,,,
24.6619,1949,6,CAF,,,
24.2041,1949,7,CAF,,,
23.3307,1949,8,CAF,,,
24.3193,1949,9,CAF,,,
24.8265,1949,10,CAF,,,
24.1135,1949,11,CAF,,,
21.1729,1949,12,CAF,,,
24.9501,1950,1,CAF,,,
25.9488,1950,2,CAF,,,
26.835,1950,3,CAF,,,
26.9148,1950,4,CAF,,,
25.8093,1950,5,CAF,,,
25.0496,1950,6,CAF,,,
23.0296,1950,7,CAF,,,
22.4001,1950,8,CAF,,,
23.8965,1950,9,CAF,,,
23.7538,1950,10,CAF,,,
